tmc_code,measurement_tstamp,speed,historical_average_speed,travel_time_minutes,rolling_mean,rolling_std,anomaly_score
112N18004,2024-06-17 00:41:00,29.0,29.0,0.03,30.933333333333334,0.3651483716701006,-5.294651389216753
112N18004,2024-06-17 00:42:00,29.0,29.0,0.03,30.866666666666667,0.5074162634049187,-3.6787679096857504
112N18004,2024-06-17 01:29:00,29.0,29.0,0.03,45.43333333333333,3.103761159195907,-5.294651389216663
112N18004,2024-06-17 02:13:00,29.0,29.0,0.03,40.6,2.190890230020636,-5.294651389216676
112N18004,2024-06-17 02:14:00,29.0,29.0,0.03,40.2,3.044497580429529,-3.6787679096857304
112N18004,2024-06-17 04:39:00,29.0,29.0,0.03,35.86666666666667,1.634400308313729,-4.20133710923688
112N18004,2024-06-17 04:40:00,29.0,29.0,0.03,35.666666666666664,2.056668436445501,-3.241488296571776
112N18004,2024-06-17 06:36:00,37.0,24.0,0.02,41.666666666666664,1.3217891045026748,-3.5305682659734927
112N18004,2024-06-17 07:11:00,23.0,26.0,0.04,35.53333333333333,2.569493889966408,-4.877743972178577
112N18004,2024-06-17 07:12:00,23.0,26.0,0.04,35.06666666666667,3.423381402923871,-3.52478010669821
112N18004,2024-06-17 08:45:00,26.0,28.0,0.03,34.5,2.2089161018082253,-3.848041124351384
112N18004,2024-06-17 11:31:00,27.0,27.0,0.03,32.43333333333333,1.735696885449998,-3.130346881923845
112N18004,2024-06-17 12:53:00,25.0,29.0,0.04,31.866666666666667,2.0800088417141467,-3.3012680181723697
112N18004,2024-06-17 15:17:00,33.0,26.0,0.03,38.5,1.717054414417248,-3.203159989467572
112N18004,2024-06-17 17:11:00,27.0,24.0,0.03,33.36666666666667,1.8285727114116943,-3.4817683906873325
112N18004,2024-06-17 20:39:00,36.0,28.0,0.03,39.86666666666667,1.2793676598996562,-3.0223264100406753
112N18004,2024-06-17 23:06:00,29.0,29.0,0.03,40.13333333333333,2.2702473408216592,-4.904017783940626
112N18004,2024-06-17 23:07:00,29.0,29.0,0.03,39.8,3.0444975804298715,-3.5473833414822677
112N18004,2024-06-18 00:12:00,29.0,29.0,0.03,38.46666666666667,1.8888663510041075,-5.011824506077023
112N18004,2024-06-18 00:13:00,29.0,29.0,0.03,38.2,2.551537737833338,-3.6056687947763875
112N18004,2024-06-18 03:07:00,29.0,29.0,0.03,50.266666666666666,4.016632088371891,-5.294651389215719
112N18004,2024-06-18 03:08:00,29.0,29.0,0.03,49.53333333333333,5.581578897454635,-3.6787679096854005
112N18004,2024-06-18 05:00:00,27.0,27.0,0.03,28.933333333333334,0.36514837166823616,-5.294651389243787
112N18004,2024-06-18 05:01:00,27.0,27.0,0.03,28.866666666666667,0.5074162634035556,-3.678767909695633
112N18004,2024-06-18 06:33:00,31.0,23.0,0.03,34.86666666666667,0.7302967433405594,-5.294651389214157
112N18004,2024-06-18 06:34:00,31.0,23.0,0.03,34.733333333333334,1.0148325268100729,-3.6787679096848973
112N18004,2024-06-18 09:04:00,23.0,28.0,0.04,34.2,3.177507155639195,-3.5247756972389834
112N18004,2024-06-18 11:51:00,29.0,29.0,0.03,34.233333333333334,1.5241353305227219,-3.433640850998773
112N18004,2024-06-18 15:45:00,23.0,23.0,0.04,34.46666666666667,3.224190177215251,-3.5564486076843287
112N18004,2024-06-18 15:46:00,21.0,23.0,0.04,34.06666666666667,4.050826508541119,-3.2256791642682696
112N18004,2024-06-18 17:22:00,23.0,19.0,0.04,29.6,2.1750941319302686,-3.034351434778084
112N18004,2024-06-18 22:10:00,29.0,29.0,0.03,41.06666666666667,2.8518999514949397,-4.231097469019359
112N18004,2024-06-18 22:11:00,29.0,29.0,0.03,40.733333333333334,3.5905367318817176,-3.2678494079029137
112N18004,2024-06-18 23:47:00,29.0,29.0,0.03,44.43333333333333,3.244978437135839,-4.756066529352802
112N18004,2024-06-18 23:48:00,29.0,29.0,0.03,43.96666666666667,4.295011808690014,-3.484662518595386
112N18004,2024-06-19 00:39:00,29.0,29.0,0.03,40.166666666666664,2.166887698717616,-5.153320438929622
112N18004,2024-06-19 00:40:00,29.0,29.0,0.03,39.8,2.975764173081608,-3.6293198559534563
112N18004,2024-06-19 03:00:00,29.0,29.0,0.03,46.666666666666664,4.428227117290301,-3.989557490781359
112N18004,2024-06-19 03:01:00,29.0,29.0,0.03,45.93333333333333,5.400723663728775,-3.135382290906214
112N18004,2024-06-19 06:57:00,23.0,23.0,0.04,37.0,2.779233335118918,-5.037360419901903
112N18004,2024-06-19 06:58:00,23.0,23.0,0.04,36.46666666666667,3.7484096244467713,-3.5926347480377676
112N18004,2024-06-19 09:57:00,23.0,28.0,0.04,33.733333333333334,2.5452231571201405,-4.217050007307747
112N18004,2024-06-19 09:58:00,23.0,28.0,0.04,33.333333333333336,3.1984191497474943,-3.2307627141830744
112N18004,2024-06-19 10:32:00,25.0,26.0,0.04,30.733333333333334,1.436790804567985,-3.9903744616859766
112N18004,2024-06-19 10:33:00,25.0,26.0,0.04,30.533333333333335,1.7759569219169788,-3.115691188815898
112N18004,2024-06-19 12:52:00,31.0,26.0,0.03,34.8,1.2148506364843457,-3.1279565453386198
112N18004,2024-06-19 14:02:00,33.0,23.0,0.03,35.03333333333333,0.49013251785459816,-4.148537914263702
112N18004,2024-06-19 14:43:00,27.0,23.0,0.03,37.86666666666667,2.3886705772121455,-4.549252948621037
112N18004,2024-06-19 14:44:00,27.0,23.0,0.03,37.6,3.069314199487326,-3.4535402083535605
112N18004,2024-06-19 14:45:00,25.0,23.0,0.04,37.266666666666666,3.8140695374866445,-3.216162302785393
112N18004,2024-06-19 22:04:00,29.0,29.0,0.03,40.06666666666667,2.273283108624587,-4.868142742397966
112N18004,2024-06-19 22:05:00,29.0,29.0,0.03,39.733333333333334,3.0392073981877363,-3.5316225341296437
112N18004,2024-06-19 22:08:00,25.0,29.0,0.04,38.733333333333334,4.570771709787271,-3.0045983928548683
112N18004,2024-06-19 23:55:00,37.0,29.0,0.02,38.93333333333333,0.3651483716746244,-5.294651389151149
112N18004,2024-06-19 23:56:00,37.0,29.0,0.02,38.86666666666667,0.5074162634081392,-3.6787679096624024
112N18004,2024-06-20 00:12:00,29.0,29.0,0.03,37.53333333333333,1.8888663510043766,-4.517700963223713
112N18004,2024-06-20 00:13:00,29.0,29.0,0.03,37.2,2.4268611769971895,-3.3788500461926088
112N18004,2024-06-20 01:43:00,29.0,29.0,0.03,43.43333333333333,3.0589984086908553,-4.718319987459651
112N18004,2024-06-20 01:44:00,29.0,29.0,0.03,42.86666666666667,3.997700488456757,-3.4686607230097057
112N18004,2024-06-20 05:56:00,30.0,30.0,0.03,42.56666666666667,2.3734644158567195,-5.294651389214377
112N18004,2024-06-20 05:57:00,30.0,30.0,0.03,42.13333333333333,3.298205712132702,-3.678767909684935
112N18004,2024-06-20 07:12:00,23.0,25.0,0.04,35.9,2.963571936142503,-4.352855364392175
112N18004,2024-06-20 07:13:00,23.0,25.0,0.04,35.43333333333333,3.77545003787725,-3.293205633393571
112N18004,2024-06-20 08:49:00,27.0,27.0,0.03,32.53333333333333,1.3578211078488844,-4.07515636732107
112N18004,2024-06-20 08:50:00,27.0,27.0,0.03,32.333333333333336,1.6883645082280172,-3.1588755315229937
112N18004,2024-06-20 09:53:00,25.0,28.0,0.04,34.13333333333333,2.609443504331888,-3.5001077119206676
112N18004,2024-06-20 10:42:00,21.0,28.0,0.04,36.06666666666667,4.540494681642592,-3.318287482547183
112N18004,2024-06-20 11:27:00,25.0,29.0,0.04,33.2,2.537987255749215,-3.23090668852841
112N18004,2024-06-20 14:40:00,25.0,22.0,0.04,28.833333333333332,0.9128709291747269,-4.199206274208802
112N18004,2024-06-20 14:41:00,25.0,22.0,0.04,28.633333333333333,1.0661996103893088,-3.4077421318946732
112N18004,2024-06-20 14:42:00,23.0,22.0,0.04,28.466666666666665,1.4793599112877427,-3.695291879248019
112N18004,2024-06-20 14:43:00,17.0,22.0,0.05,28.133333333333333,2.556038601690521,-4.355698433493897
112N18004,2024-06-20 14:44:00,17.0,22.0,0.05,27.733333333333334,3.2582344841986917,-3.2942175848258564
112N18004,2024-06-20 18:47:00,23.0,27.0,0.04,34.2,2.85753691863826,-3.9194594221856236
112N18004,2024-06-20 18:48:00,23.0,27.0,0.04,33.8,3.5076271574760094,-3.0790045563940085
112N18004,2024-06-20 21:34:00,27.0,31.0,0.03,38.86666666666667,3.2772289949073032,-3.6209452208274255
112N18004,2024-06-20 23:05:00,29.0,29.0,0.03,35.06666666666667,1.3373502709193232,-4.5363333739756255
112N18004,2024-06-20 23:06:00,29.0,29.0,0.03,34.8,1.6897255439255567,-3.4325101025137394
112N18004,2024-06-21 00:48:00,39.0,29.0,0.02,39.96666666666667,0.1825741858466199,-5.2946513888812445
112N18004,2024-06-21 00:49:00,37.0,29.0,0.02,39.86666666666667,0.5713464637270138,-5.017387607454143
112N18004,2024-06-21 00:50:00,37.0,29.0,0.02,39.766666666666666,0.7738543627303252,-3.575177449288092
112N18004,2024-06-21 01:17:00,35.0,29.0,0.03,36.93333333333333,0.639683829951521,-3.022326410032671
112N18004,2024-06-21 02:01:00,29.0,29.0,0.03,34.8,1.0954451150110112,-5.294651389213322
112N18004,2024-06-21 02:02:00,29.0,29.0,0.03,34.6,1.5222487902152295,-3.678767909684607
112N18004,2024-06-21 05:52:00,31.0,31.0,0.03,38.733333333333334,1.4605934866816155,-5.294651389212356
112N18004,2024-06-21 05:53:00,31.0,31.0,0.03,38.46666666666667,2.0296650536205108,-3.6787679096842356
112N18004,2024-06-21 07:05:00,25.0,25.0,0.04,36.6,2.1908902300212225,-5.294651389215257
112N18004,2024-06-21 07:06:00,25.0,25.0,0.04,36.2,3.044497580429918,-3.6787679096852606
112N18004,2024-06-21 07:49:00,31.0,25.0,0.03,33.0,0.5252257314395388,-3.8078865529272523
112N18004,2024-06-21 07:50:00,31.0,25.0,0.03,32.93333333333333,0.6396838299499994,-3.02232641003986
112N18004,2024-06-21 07:56:00,23.0,25.0,0.04,32.266666666666666,1.9988502442281433,-4.6359984663308245
112N18004,2024-06-21 07:57:00,23.0,25.0,0.04,31.933333333333334,2.6120850877694055,-3.42000089321821
112N18004,2024-06-21 09:57:00,27.0,27.0,0.03,36.266666666666666,2.258063456751128,-4.1038114491252715
112N18004,2024-06-21 14:51:00,27.0,23.0,0.03,28.8,0.48423419810984014,-3.717209579633411
112N18004,2024-06-21 14:52:00,27.0,23.0,0.03,28.766666666666666,0.5683207771545039,-3.1085730764799737
112N18004,2024-06-21 18:22:00,31.0,29.0,0.03,34.4,1.037237710925983,-3.2779371249090863
112N18004,2024-06-21 22:21:00,33.0,29.0,0.03,36.733333333333334,1.014832526811282,-3.6787679096805137
112N18004,2024-06-21 22:22:00,33.0,29.0,0.03,36.666666666666664,1.1841869998347312,-3.0963578110369356
112N18004,2024-06-21 22:32:00,29.0,29.0,0.03,35.6,2.1107279345750247,-3.126883333416843
112N18004,2024-06-22 01:20:00,29.0,29.0,0.03,43.8,2.952497481678354,-5.0127053763266565
112N18004,2024-06-22 01:21:00,29.0,29.0,0.03,43.333333333333336,4.002872531789334,-3.580761870257746
112N18004,2024-06-22 05:56:00,28.0,28.0,0.03,36.7,1.643167672516335,-5.294651389213911
112N18004,2024-06-22 06:51:00,31.0,28.0,0.03,38.8,2.483045960384767,-3.1413031109546306
112N18004,2024-06-22 07:15:00,17.0,31.0,0.05,31.4,3.3794510878502635,-4.261047023811233
112N18004,2024-06-22 07:16:00,17.0,31.0,0.05,30.733333333333334,4.126728129822807,-3.3278987375218767
112N18004,2024-06-22 08:54:00,31.0,30.0,0.03,39.2,2.5917641442295984,-3.1638681391039354
112N18004,2024-06-22 08:55:00,31.0,30.0,0.03,39.2,2.5917641442295984,-3.1638681391039354
112N18004,2024-06-22 09:44:00,27.0,28.0,0.03,32.6,1.5222487902149293,-3.678767909685332
112N18004,2024-06-22 09:45:00,27.0,28.0,0.03,32.266666666666666,1.617433755683147,-3.2561869369680685
112N18004,2024-06-22 14:42:00,23.0,27.0,0.04,26.733333333333334,1.142692927445663,-3.2671361165056836
112N18004,2024-06-22 16:37:00,29.0,28.0,0.03,33.06666666666667,1.3373502709188338,-3.0408388550836754
112N18004,2024-06-22 16:51:00,19.0,28.0,0.05,30.266666666666666,3.619233423628785,-3.112998071113707
112N18004,2024-06-23 00:14:00,29.0,29.0,0.03,38.666666666666664,1.8257418583513103,-5.29465138921441
112N18004,2024-06-23 00:15:00,29.0,29.0,0.03,38.333333333333336,2.5370813170251436,-3.6787679096849533
112N18004,2024-06-23 01:13:00,41.0,29.0,0.02,42.93333333333333,0.36514837167594266,-5.294651389132034
112N18004,2024-06-23 01:14:00,41.0,29.0,0.02,42.86666666666667,0.5074162634090984,-3.678767909655448
112N18004,2024-06-23 02:29:00,29.0,29.0,0.03,41.2,2.4830459603847386,-4.913320250467558
112N18004,2024-06-23 02:30:00,29.0,29.0,0.03,40.733333333333334,3.3107279471791973,-3.5440342790262656
112N18004,2024-06-23 06:00:00,29.0,29.0,0.03,29.966666666666665,0.18257418583483598,-5.294651389222959
112N18004,2024-06-23 06:01:00,29.0,29.0,0.03,29.933333333333334,0.2537081317022839,-3.678767909688295
112N18004,2024-06-23 09:06:00,35.0,30.0,0.03,36.93333333333333,0.36514837167317427,-5.294651389172175
112N18004,2024-06-23 09:07:00,35.0,30.0,0.03,36.86666666666667,0.5074162634071051,-3.6787679096698995
112N18004,2024-06-23 14:56:00,29.0,30.0,0.03,36.0,1.947589137440875,-3.5941872263664267
112N18004,2024-06-23 14:59:00,25.0,30.0,0.04,35.06666666666667,3.215622783390328,-3.13054961504318
112N18004,2024-06-23 16:49:00,25.0,30.0,0.04,36.86666666666667,2.5694938899667856,-4.6182895055726565
112N18004,2024-06-23 16:50:00,21.0,30.0,0.04,36.333333333333336,3.8714991601611137,-3.9605673923729414
112N18004,2024-06-23 16:51:00,21.0,30.0,0.04,35.8,4.773490012197924,-3.1004568904891094
112N18004,2024-06-23 19:04:00,33.0,31.0,0.03,42.0,2.7667982242650617,-3.2528573717697284
112N18004,2024-06-23 19:05:00,31.0,31.0,0.03,41.733333333333334,3.38285059689645,-3.172866499980958
112N18004,2024-06-23 21:39:00,33.0,31.0,0.03,34.93333333333333,0.6396838299506737,-3.022326410036674
112N18004,2024-06-23 22:26:00,37.0,29.0,0.02,38.93333333333333,0.3651483716739524,-5.294651389160892
112N18004,2024-06-23 22:27:00,37.0,29.0,0.02,38.86666666666667,0.5074162634076684,-3.6787679096658152
112N18004,2024-06-23 22:51:00,29.0,29.0,0.03,37.0,1.6609095970754602,-4.816637831515002
112N18004,2024-06-23 23:56:00,29.0,29.0,0.03,40.06666666666667,2.27328310862444,-4.868142742398281
112N18004,2024-06-23 23:57:00,29.0,29.0,0.03,39.666666666666664,3.032392174316118,-3.5175749222055255
