tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
101P14354,HAYNES BRIDGE RD,NORTHBOUND,ACADEMY ST,GA,FULTON,30076,34.07531,-84.29097,34.07563,-84.29101,0.022592,14.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14353,HAYNES BRIDGE RD,NORTHBOUND,GA-120/MADDOX ST/OLD MILTON PKY,GA,FULTON,30076,34.07081,-84.29356,34.07098,-84.29356,0.011717,12.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14353,HAYNES BRIDGE RD,SOUTHBOUND,GA-120/MADDOX ST/OLD MILTON PKY,GA,FULTON,30076,34.07532,-84.29109,34.07099,-84.29373,0.359258,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14358,HARDSCRABBLE RD,EASTBOUND,GA-140/ARNOLD MILL RD/HOUZE RD,GA,FULTON,30075,34.08184,-84.35735,34.08201,-84.35728,0.012386,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14352,HAYNES BRIDGE RD,SOUTHBOUND,MORRISON PKY/WESTSIDE PKY,GA,FULTON,30076,34.07083,-84.29373,34.0604,-84.28923,0.783799,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14351,HAYNES BRIDGE RD,SOUTHBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.06022,-84.28906,34.05648,-84.28649,0.298557,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14350,HAYNES BRIDGE RD,SOUTHBOUND,NORTH POINT PKY,GA,FULTON,30076,34.05369,-84.28553,34.04864,-84.28663,0.35673,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14359,RUCKER RD,EASTBOUND,CRABAPPLE RD,GA,FULTON,30075,34.0778,-84.35962,34.07776,-84.35944,0.010685,5.001,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20110,WATERS RD,NORTHBOUND,KIMBALL BRIDGE RD,GA,FULTON,30022,34.04562,-84.25873,34.04606,-84.25845,0.034319,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53318,SARGENT RD,WESTBOUND,JONES BRIDGE RD,GA,FULTON,30005,34.07011,-84.17877,34.06885,-84.20644,1.61739,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+07135,GA-120,EASTBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.07081,-84.29356,34.0686,-84.27331,1.186171,62.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+07134,GA-120,EASTBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.07111,-84.29676,34.07083,-84.29373,0.174934,60.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53150,MAYFIELD RD,EASTBOUND,GA-9/N MAIN ST,GA,FULTON,30009,34.08152,-84.29725,34.08118,-84.2957,0.09225,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P07820,GA-120,EASTBOUND,JONES BRIDGE RD,GA,FULTON,30097,34.06484,-84.21474,34.06467,-84.2127,0.118092,67.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14343,NORTH POINT PKY,NORTHBOUND,KIMBALL BRIDGE RD,GA,FULTON,30076,34.04849,-84.28643,34.05468,-84.27606,0.783933,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53161,HOPEWELL RD,NORTHBOUND,PEBBLE TRL,GA,FULTON,30009,34.08659,-84.29649,34.08707,-84.29645,0.033163,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14344,NORTH POINT PKY,NORTHBOUND,GA-120/OLD MILTON PKY,GA,FULTON,30005,34.05472,-84.27526,34.06755,-84.26131,1.294824,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14342,NORTH POINT PKY,NORTHBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.03818,-84.30636,34.04848,-84.28661,1.397779,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14350,HAYNES BRIDGE RD,NORTHBOUND,NORTH POINT PKY,GA,FULTON,30076,34.04849,-84.28643,34.04866,-84.28644,0.011731,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53166,HOPEWELL RD,NORTHBOUND,FRANCIS RD/COGBURN RD,GA,FULTON,30004,34.13768,-84.28461,34.13787,-84.28453,0.042774,7.0,America/New_York,P1.8,USA,2024-08-01 14:00:00-04:00,null
101+14340,DEERFIELD PKY,NORTHBOUND,GA-9/CUMMING HWY,GA,FULTON,30004,34.09801,-84.26436,34.10659,-84.26909,0.763985,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14352,HAYNES BRIDGE RD,NORTHBOUND,MORRISON PKY/WESTSIDE PKY,GA,FULTON,30076,34.06041,-84.28891,34.06071,-84.28921,0.026917,10.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14351,HAYNES BRIDGE RD,NORTHBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.05373,-84.28538,34.05612,-84.28613,0.170274,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53167,HOPEWELL RD,NORTHBOUND,THOMPSON RD/S THOMPSON RD,GA,FULTON,30004,34.15272,-84.28547,34.15302,-84.28535,0.02973,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14343,NORTH POINT PKY,NORTHBOUND,KIMBALL BRIDGE RD,GA,FULTON,30022,34.05468,-84.27606,34.05472,-84.27526,0.046028,4.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20196,WILLS RD,SOUTHBOUND,GA-9/GA-120/S MAIN ST/ALPHARETTA HWY,GA,FULTON,30076,34.06623,-84.31189,34.06591,-84.31188,0.022067,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+07819,GA-120,EASTBOUND,STATE BRIDGE RD/KIMBALL BRIDGE RD,GA,FULTON,30005,34.06867,-84.27043,34.05779,-84.23287,2.305183,64.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14342,NORTH POINT PKY,NORTHBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.04848,-84.28661,34.04849,-84.28643,0.01035,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20197,WILLS RD,SOUTHBOUND,MARIETTA ST/OLD MILTON PKWY/RUCKER RD,GA,FULTON,30076,34.0729,-84.31083,34.07276,-84.31089,0.010245,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14345,NORTH POINT PKY,SOUTHBOUND,WEBB BRIDGE RD,GA,FULTON,30004,34.08868,-84.25699,34.07629,-84.26035,0.912368,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14344,NORTH POINT PKY,SOUTHBOUND,GA-120/OLD MILTON PKY,GA,FULTON,30005,34.07629,-84.26035,34.06813,-84.26121,0.784263,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14344,NORTH POINT PKY,NORTHBOUND,GA-120/OLD MILTON PKY,GA,FULTON,30005,34.06755,-84.26131,34.06774,-84.26121,0.014298,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14343,NORTH POINT PKY,SOUTHBOUND,KIMBALL BRIDGE RD,GA,FULTON,30076,34.06761,-84.26148,34.05485,-84.27525,1.283438,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14342,NORTH POINT PKY,SOUTHBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.05485,-84.27525,34.04866,-84.28644,0.830789,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14347,HAYNES BRIDGE RD,NORTHBOUND,OLD ALABAMA RD,GA,FULTON,30076,34.0214,-84.27,34.02154,-84.26997,0.009818,3.001,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14341,NORTH POINT PKY,SOUTHBOUND,MANSELL RD,GA,FULTON,30076,34.04864,-84.28663,34.03818,-84.30636,1.401386,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14346,NORTH POINT PKY,NORTHBOUND,WINDWARD PKY,GA,FULTON,30004,34.0887,-84.25685,34.08881,-84.25688,0.007774,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20194,WILLS RD,SOUTHBOUND,OLD ROSWELL RD,GA,FULTON,30076,34.05874,-84.31157,34.05857,-84.31135,0.017221,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P07134,GA-120,EASTBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.07083,-84.29373,34.07081,-84.29356,0.009848,61.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-20090,HEMBREE RD,WESTBOUND,WILLS RD,GA,FULTON,30076,34.06087,-84.30931,34.06089,-84.31202,0.155471,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P07135,GA-120,EASTBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.0686,-84.27331,34.06867,-84.27043,0.165326,63.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-20091,HEMBREE RD,WESTBOUND,OLD ROSWELL RD,GA,FULTON,30076,34.05893,-84.29962,34.06087,-84.30878,0.577242,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53308,BROADWELL RD,SOUTHBOUND,RUCKER RD,GA,FULTON,30004,34.08983,-84.33946,34.07933,-84.33979,0.725347,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53162,HOPEWELL RD,NORTHBOUND,CANTON ST,GA,FULTON,30009,34.08707,-84.29645,34.08873,-84.29628,0.114832,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+07820,GA-120,EASTBOUND,JONES BRIDGE RD,GA,FULTON,30097,34.05908,-84.22814,34.06484,-84.21474,0.876546,66.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14354,HAYNES BRIDGE RD,NORTHBOUND,ACADEMY ST,GA,FULTON,30076,34.07098,-84.29356,34.07531,-84.29097,0.35542,13.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53150,MAYFIELD RD,EASTBOUND,GA-9/N MAIN ST,GA,FULTON,30009,34.08118,-84.2957,34.08113,-84.29471,0.056888,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+20106,KIMBALL BRIDGE RD,EASTBOUND,GA-120/STATE BRIDGE RD,GA,FULTON,30005,34.04913,-84.23971,34.05524,-84.23159,0.639215,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-07135,GA-120,WESTBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.05869,-84.23401,34.06883,-84.27021,2.211821,19.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53153,BETHANY RD,NORTHBOUND,MAYFIELD RD,GA,FULTON,30009,34.0959,-84.32622,34.09614,-84.32619,0.01883,2.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14352,HAYNES BRIDGE RD,NORTHBOUND,MORRISON PKY/WESTSIDE PKY,GA,FULTON,30076,34.05612,-84.28613,34.06041,-84.28891,0.337815,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+20107,KIMBALL BRIDGE RD,EASTBOUND,GA-120,GA,FULTON,30005,34.05578,-84.23106,34.05746,-84.23002,0.130262,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-07134,GA-120,WESTBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.06878,-84.27338,34.07098,-84.29356,1.182232,21.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53152,BETHANY RD,NORTHBOUND,MID BROADWELL RD,GA,FULTON,30004,34.08707,-84.32642,34.0873,-84.32639,0.023864,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14353,HAYNES BRIDGE RD,NORTHBOUND,GA-120/MADDOX ST/OLD MILTON PKY,GA,FULTON,30076,34.06071,-84.28921,34.07081,-84.29356,0.75845,11.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14350,HAYNES BRIDGE RD,NORTHBOUND,NORTH POINT PKY,GA,FULTON,30076,34.04126,-84.28474,34.04849,-84.28643,0.517303,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14351,HAYNES BRIDGE RD,NORTHBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.04866,-84.28644,34.05373,-84.28538,0.359251,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14341,NORTH POINT PKY,NORTHBOUND,MANSELL RD,GA,FULTON,30076,34.03768,-84.30649,34.03818,-84.30636,0.035277,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14340,DEERFIELD PKY,NORTHBOUND,GA-9/CUMMING HWY,GA,FULTON,30004,34.10659,-84.26909,34.10663,-84.26942,0.01912,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53156,BETHANY RD/BETHANY WAY,NORTHBOUND,HOPEWELL RD,GA,FULTON,30004,34.11702,-84.29749,34.11737,-84.2952,0.13472,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14376,JONES BRIDGE RD,NORTHBOUND,STATE BRIDGE RD,GA,FULTON,30022,34.0462,-84.22339,34.04658,-84.22291,0.038275,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20043,SCOTT RD,SOUTHBOUND,NESBIT FERRY RD,GA,FULTON,30076,34.01232,-84.28129,34.01193,-84.28192,0.045124,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14334,GA-9,SOUTHBOUND,MCFARLAND RD/NINE MCFARLAND DR,GA,FORSYTH,30040,34.1588,-84.23672,34.13631,-84.24879,2.201422,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-11186,GA-140,EASTBOUND,GA-372/CRABAPPLE RD,GA,FULTON,30075,34.09536,-84.36696,34.08201,-84.35728,1.131178,27.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14333,GA-9,SOUTHBOUND,BETHANY BND/BETHANY RD,GA,FULTON,30004,34.13621,-84.24885,34.11891,-84.2701,1.964885,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14377,JONES BRIDGE RD,NORTHBOUND,GA-120/ABBOTTS BRG RD,GA,FULTON,30097,34.06467,-84.2127,34.06479,-84.21253,0.012792,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14332,GA-9,SOUTHBOUND,DEERFIELD PKY,GA,FULTON,30004,34.11804,-84.26995,34.10695,-84.26936,0.770323,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20045,NESBIT FERRY RD,SOUTHBOUND,GA-140/HOLCOMB BRIDGE RD,GA,FULTON,30350,33.98922,-84.27338,33.98877,-84.27372,0.03666,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14331,GA-9,SOUTHBOUND,WEBB RD,GA,FULTON,30004,34.10591,-84.26957,34.09841,-84.27145,0.529778,10.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14330,GA-9,SOUTHBOUND,WINDWARD PKY W,GA,FULTON,30004,34.09796,-84.2718,34.09452,-84.27829,0.458264,12.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14379,JONES BRIDGE RD,NORTHBOUND,MCGINNIS FERRY RD,GA,FULTON,30041,34.08541,-84.18968,34.08545,-84.18955,0.007949,8.001,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53249,NEW PROVIDENCE RD,NORTHBOUND,GA-372/BIRMINGHAM HWY,GA,FULTON,30004,34.09057,-84.36152,34.11939,-84.3427,3.557082,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53129,COGBURN RD,NORTHBOUND,WINDWARD PKWY,GA,FULTON,30004,34.09229,-84.28562,34.09928,-84.27987,0.618746,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53219,MOUNTAIN RD,WESTBOUND,FREEMANVILLE RD,GA,FULTON,30004,34.17839,-84.27316,34.18579,-84.299,1.608786,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53218,MOUNTAIN RD/KING RD,WESTBOUND,GA-372/BIRMINGHAM RD,GA,CHEROKEE,30004,34.18579,-84.299,34.19383,-84.30702,0.766358,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18172,MANSELL RD,EASTBOUND,OLD ALABAMA RD CONN,GA,FULTON,30076,34.03737,-84.29252,34.0377,-84.29164,0.056073,11.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18170,MANSELL RD,EASTBOUND,US-19/TURNER MCDONALD PKWY,GA,FULTON,30076,34.03982,-84.31395,34.03842,-84.3093,0.283763,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53142,CHARLOTTE DR,NORTHBOUND,MAYFIELD RD,GA,FULTON,30004,34.09068,-84.33606,34.09096,-84.33614,0.031762,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18173,MANSELL RD,EASTBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.04099,-84.28547,34.04126,-84.28474,0.045999,13.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53141,CHARLOTTE DR,NORTHBOUND,MID BROADWELL RD,GA,FULTON,30004,34.0876,-84.33473,34.08825,-84.33502,0.047788,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14372,MCGINNIS FERRY RD,WESTBOUND,BETHANY BND/MORRIS RD,GA,FORSYTH,30004,34.10436,-84.25395,34.10432,-84.2541,0.009031,12.001,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14361,RUCKER RD,EASTBOUND,BROADWELL RD/WALLACE WOODS LN,GA,FULTON,30075,34.07771,-84.35534,34.07844,-84.34001,0.899763,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53144,MAYFIELD RD,EASTBOUND,GA-372/BIRMINGHAM HWY/BROADWELL RD,GA,FULTON,30009,34.09008,-84.33949,34.09013,-84.33922,0.015862,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-05622,WINDWARD PKY W,EASTBOUND,US-19/GA-400,GA,FULTON,30004,34.09424,-84.27882,34.08756,-84.2637,1.072056,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18179,WESTSIDE PKWY,NORTHBOUND,GA-120/OLD MILTON PKWY,GA,FULTON,30076,34.06784,-84.28329,34.06905,-84.28303,0.084837,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18178,WESTSIDE PKWY,NORTHBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.06032,-84.28916,34.06041,-84.28891,0.015625,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14373,JONES BRIDGE RD,NORTHBOUND,BARNWELL RD,GA,FULTON,30022,34.01507,-84.25082,34.01521,-84.25083,0.009676,1.001,America/New_York,P1.13,USA,2024-08-01 14:00:00-04:00,null
101+14360,RUCKER RD,EASTBOUND,GA-140/HOUZE RD,GA,FULTON,30075,34.07776,-84.35944,34.07771,-84.35534,0.235278,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53145,MAYFIELD RD,EASTBOUND,CHARLOTTE DR,GA,FULTON,30004,34.09078,-84.33626,34.09087,-84.33593,0.031501,2.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18176,WESTSIDE PKWY,NORTHBOUND,OLD ROSWELL RD,GA,FULTON,30076,34.04175,-84.32425,34.04402,-84.3195,0.314269,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18177,WESTSIDE PKWY,NORTHBOUND,HEMBREE RD,GA,FULTON,30076,34.04402,-84.3195,34.05866,-84.29935,1.762674,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18178,WESTSIDE PKWY,NORTHBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.05866,-84.29935,34.06032,-84.28916,0.614928,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18179,WESTSIDE PKWY,NORTHBOUND,GA-120/OLD MILTON PKWY,GA,FULTON,30076,34.06041,-84.28891,34.06784,-84.28329,0.660361,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53139,MID BROADWELL RD,EASTBOUND,WILLS RD,GA,FULTON,30004,34.08716,-84.32628,34.07763,-84.30937,1.267121,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20051,OLD ALABAMA RD CONN,SOUTHBOUND,MANSELL RD,GA,FULTON,30076,34.03752,-84.29194,34.03713,-84.29169,0.030469,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53208,MCFARLAND PKWY,SOUTHBOUND,UNION HILL RD,GA,FORSYTH,30004,34.13569,-84.24769,34.13057,-84.23085,1.079771,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53207,MCFARLAND PKWY,SOUTHBOUND,GA-400/US-19/TURNER MCDONALD PKWY/HOSPITALITY HWY,GA,FORSYTH,30004,34.13022,-84.22988,34.11609,-84.22325,1.129203,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14376,JONES BRIDGE RD,NORTHBOUND,STATE BRIDGE RD,GA,FULTON,30022,34.03678,-84.23484,34.0462,-84.22339,0.928069,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14377,JONES BRIDGE RD,NORTHBOUND,GA-120/ABBOTTS BRG RD,GA,FULTON,30097,34.04658,-84.22291,34.06467,-84.2127,1.395951,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18170,MANSELL RD,EASTBOUND,US-19/TURNER MCDONALD PKWY,GA,FULTON,30076,34.04167,-84.32444,34.03982,-84.31395,0.64914,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53252,CUMMING ST/UNION HILL RD,EASTBOUND,WESTSIDE PKWY,GA,FULTON,30004,34.08418,-84.27316,34.08417,-84.27314,0.001338,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53131,COGBURN RD,NORTHBOUND,HOPEWELL RD/FRANCIS RD,GA,FULTON,30004,34.13761,-84.28442,34.13787,-84.28453,0.030279,5.0,America/New_York,P1.8,USA,2024-08-01 14:00:00-04:00,null
101+14374,JONES BRIDGE RD,NORTHBOUND,OLD ALABAMA RD,GA,FULTON,30022,34.01521,-84.25083,34.02421,-84.25268,0.667906,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18171,MANSELL RD,EASTBOUND,N POINT PKWY,GA,FULTON,30076,34.03842,-84.3093,34.03768,-84.30649,0.169352,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53251,CUMMING ST,EASTBOUND,GA-9/N MAIN ST,GA,FULTON,30009,34.07853,-84.29447,34.07856,-84.29348,0.056829,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14375,JONES BRIDGE RD,NORTHBOUND,BUICE RD,GA,FULTON,30022,34.02421,-84.25268,34.03678,-84.23484,1.406039,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18172,MANSELL RD,EASTBOUND,OLD ALABAMA RD CONN,GA,FULTON,30076,34.03768,-84.30649,34.03737,-84.29252,0.80364,10.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14372,MCGINNIS FERRY RD,WESTBOUND,BETHANY BND/MORRIS RD,GA,FULTON,30004,34.10358,-84.24656,34.10436,-84.25395,0.438222,15.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53133,FRANCIS RD,EASTBOUND,HOPEWELL RD/COGBURN RD,GA,FULTON,30004,34.13779,-84.28431,34.13815,-84.28366,0.044944,1.0,America/New_York,P1.8,USA,2024-08-01 14:00:00-04:00,null
101+18173,MANSELL RD,EASTBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.0377,-84.29164,34.04099,-84.28547,0.428525,12.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14370,MCGINNIS FERRY RD,WESTBOUND,MCFARLAND RD,GA,FULTON,30004,34.08545,-84.18955,34.09981,-84.21605,1.924306,13.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14362,RUCKER RD,EASTBOUND,WILLS RD,GA,FULTON,30076,34.07291,-84.31111,34.0729,-84.31083,0.016075,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14371,MCGINNIS FERRY RD,WESTBOUND,TIDWELL DR,GA,FORSYTH,30004,34.09981,-84.21605,34.10358,-84.24656,2.037838,14.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
